constituency_code,party_share,turnout,party_candidate,party_vote,party_name,party_swing
E14000542,0.9,55.7,Ralph Dyson,364,TUSC,0.9
E14000542,0.3,55.7,Billy Marsden,103,Vapers in Power,0.3
E14000541,55.7,56.7,Dan Jarvis,20376,Labour,8.5
E14000541,21.7,56.7,Lee Hunter,7941,UKIP,17.1
E14000541,15.0,56.7,Kay Carter,5485,Conservative,-2.3
E14000541,2.6,56.7,Michael Short,938,Green Party,2.6
E14000541,2.1,56.7,John Ridgway,770,Liberal Democrat,-15.2
E14000541,1.6,56.7,Dave Gibson,573,TUSC,1.6
E14000541,1.3,56.7,Ian Sutton,477,English Democrats,1.3
E14000546,48.6,63.6,John Mann,23965,Labour,-1.8
E14000546,30.7,63.6,Sarah Downes,15122,Conservative,-3.2
E14000546,16.0,63.6,David Scott,7865,UKIP,12.4
E14000546,2.7,63.6,Leon Duveen,1331,Liberal Democrat,-8.5
E14000546,2.0,63.6,Kris Wragg,1006,Green Party,2.0
E14000550,63.2,69.6,Dominic Grieve,33621,Conservative,2.2
E14000550,13.8,69.6,Tim Scott,7310,UKIP,8.8
E14000550,11.4,69.6,Tony Clements,6074,Labour,-0.3
E14000550,7.4,69.6,Peter Chapman,3927,Liberal Democrat,-12.2
E14000550,4.2,69.6,Dave Hampton,2231,Green Party,2.7
E14000545,48.6,66.6,Maria Miller,25769,Conservative,-2.0
E14000545,27.7,66.6,Paul Harvey,14706,Labour,7.3
E14000545,15.6,66.6,Alan Stone,8290,UKIP,11.5
E14000545,7.4,66.6,Janice Spalding,3919,Liberal Democrat,-17.1
E14000545,0.7,66.6,Omar Selim,392,Independent,0.7
E14000552,42.6,66.5,Richard Fuller,19625,Conservative,3.7
E14000552,40.2,66.5,Patrick Hall,18528,Labour,4.3
E14000552,9.6,66.5,Charlie Smith,4434,UKIP,7.1
E14000552,4.2,66.5,Mahmud Henry Rogers,1958,Liberal Democrat,-15.6
E14000552,3.1,66.5,Ben Foley,1412,Green Party,2.2
E14000552,0.3,66.5,Faruk Choudhury,129,Independent,0.3
E14000549,52.4,67.1,Jane Ellison,26730,Conservative,5.0
E14000549,36.8,67.1,Will Martindale,18792,Labour,1.7
E14000549,4.4,67.1,Luke Taylor,2241,Liberal Democrat,-10.3
E14000549,3.3,67.1,Joe Stuart,1682,Green Party,2.2
E14000549,3.1,67.1,Christopher Howe,1586,UKIP,2.1
E14000555,61.2,63.9,Rushanara Ali,32387,Labour,18.3
E14000555,15.2,63.9,Matthew Smith,8070,Conservative,1.3
E14000555,9.3,63.9,Alistair Polson,4906,Green Party,7.6
E14000555,6.1,63.9,Paula McQueen,3219,UKIP,6.1
E14000555,4.5,63.9,Teena Lashmore,2395,Liberal Democrat,-15.6
E14000555,1.8,63.9,Glyn Robbins,949,TUSC,1.8
E14000555,0.7,63.9,M Rowshan Ali,356,Communities United,0.7
E14000555,0.6,63.9,Jonathan Dewey,303,Cannabis Is Safer Than Alcohol,0.6
E14000555,0.4,63.9,Alasdair Henderson,203,Whig Party,0.4
E14000555,0.1,63.9,Elliot Ball,78,The 30-50 Coalition,0.1
E14000555,0.1,63.9,Jason Pavlou,58,Red Flag - Anti - Corruption,0.1
E14000547,37.8,77.5,Ben Howlett,17833,Conservative,6.4
E14000547,29.7,77.5,Steve Bradley,14000,Liberal Democrat,-26.9
E14000547,13.2,77.5,Ollie Middleton,6216,Labour,6.3
E14000547,11.9,77.5,Dominic Tristram,5634,Green Party,9.6
E14000547,6.2,77.5,Julian Deverell,2922,UKIP,4.3
E14000547,1.1,77.5,Loraine Morgan-Brinkhurst,499,Independent,1.1
E14000547,0.1,77.5,Jenny Knight,63,English Democrats,0.1
E14000554,41.1,69.6,Anne-Marie Trevelyan,16603,Conservative,4.4
E14000554,28.9,69.6,Julie Pörksen,11689,Liberal Democrat,-14.8
E14000554,14.9,69.6,Scott Dickinson,6042,Labour,1.8
E14000554,11.2,69.6,Nigel Coghill-Marshall,4513,UKIP,7.9
E14000554,3.7,69.6,Rachael Roberts,1488,Green Party,3.7
E14000554,0.2,69.6,Neil Humphrey,88,English Democrats,0.2
E14000551,57.3,72.4,Bob Stewart,27955,Conservative,-0.6
E14000551,19.4,72.4,Marina Ahmad,9484,Labour,5.0
E14000551,12.5,72.4,Rob Bryant,6108,UKIP,9.3
E14000551,6.9,72.4,Anuja Prashar,3378,Liberal Democrat,-13.7
E14000551,3.8,72.4,Ruth Fabricant,1878,Green Party,2.6
E14000553,43.1,63.8,Neil Coyle,22146,Labour,13.8
E14000553,34.3,63.8,Simon Hughes,17657,Liberal Democrat,-14.0
E14000553,11.8,63.8,JP Floru,6051,Conservative,-5.3
E14000553,6.3,63.8,Andrew Beadle,3254,UKIP,6.3
E14000553,3.9,63.8,William Lavin,2023,Green Party,2.3
E14000553,0.3,63.8,Kingsley Abrams,142,TUSC,0.3
E14000553,0.1,63.8,Lucy Hall,72,Independent,0.1
E14000553,0.1,63.8,Donald Cole,59,All People's Party,0.1
E14000553,0.0,63.8,Steve Freeman,20,The Republican Socialist Party,0.0
E14000558,47.3,67.4,David Evennett,20643,Conservative,-3.2
E14000558,26.2,67.4,Stef Borella,11451,Labour,-0.3
E14000558,21.0,67.4,Chris Attard,9182,UKIP,17.4
E14000558,3.0,67.4,Richard Davis,1308,Liberal Democrat,-9.7
E14000558,2.2,67.4,Stella Gardiner,950,Green Party,1.3
E14000558,0.3,67.4,Maggi Young,151,English Democrats,-0.7
E14000556,48.1,65.2,Graham Stuart,25363,Conservative,1.0
E14000556,25.0,65.2,Margaret Pinder,13160,Labour,3.9
E14000556,16.7,65.2,Gary Shores,8794,UKIP,13.2
E14000556,5.5,65.2,Denis Healy,2900,Liberal Democrat,-17.2
E14000556,3.4,65.2,Richard Howarth,1802,Green Party,2.1
E14000556,1.2,65.2,Lee Walton,658,Yorkshire First,1.2
E14000559,67.6,62.7,Frank Field,26468,Labour,5.1
E14000559,14.9,62.7,Clark Vasey,5816,Conservative,-4.1
E14000559,9.8,62.7,Wayne Harling,3838,UKIP,9.8
E14000559,4.2,62.7,Kenny Peers,1626,Green Party,4.2
E14000559,3.6,62.7,Allan Brame,1396,Liberal Democrat,-15.0
E14000562,59.8,61.6,Roger Godsiff,28147,Labour,26.9
E14000562,17.7,61.6,James Bird,8329,Conservative,2.7
E14000562,11.6,61.6,Jerry Evans,5459,Liberal Democrat,-13.0
E14000562,4.7,61.6,Elly Stanton,2200,Green Party,4.7
E14000562,4.5,61.6,Rashpal Mondair,2131,UKIP,2.6
E14000562,1.7,61.6,Shiraz Peer,780,Respect Party,-23.5
E14000557,54.8,70.1,Huw Merriman,30245,Conservative,3.2
E14000557,18.4,70.1,Geoffrey Bastin,10170,UKIP,18.4
E14000557,14.1,70.1,Michelle Thew,7797,Labour,2.2
E14000557,7.6,70.1,Rachel Sadler,4199,Liberal Democrat,-20.4
E14000557,5.1,70.1,Jonathan Kent,2807,Green Party,5.1
E14000560,44.8,63.0,Gisela Stuart,18518,Labour,4.2
E14000560,38.3,63.0,Luke Evans,15812,Conservative,0.7
E14000560,10.1,63.0,Graham Short,4154,UKIP,8.3
E14000560,3.3,63.0,Phil Simpson,1371,Green Party,2.2
E14000560,2.9,63.0,Lee Dargue,1184,Liberal Democrat,-12.5
E14000560,0.4,63.0,Gabriel Ukandu,163,Christian Party,0.1
E14000560,0.2,63.0,Henna Rai,91,Independent,0.2
E14000561,45.6,53.3,Jack Dromey,15824,Labour,3.8
E14000561,30.8,53.3,Robert Alden,10695,Conservative,-1.8
E14000561,17.4,53.3,Andrew Garcarz,6040,UKIP,15.0
E14000561,2.8,53.3,Ann Holtom,965,Liberal Democrat,-13.4
E14000561,2.7,53.3,Joe Belcher,948,Green Party,2.7
E14000561,0.6,53.3,Ted Woodley,212,TUSC,0.6
E14000563,68.4,54.5,Liam Byrne,28069,Labour,16.4
E14000563,11.5,54.5,Kieran Mullan,4707,Conservative,-0.2
E14000563,11.3,54.5,Albert Duffen,4651,UKIP,9.7
E14000563,6.4,54.5,Phil Bennion,2624,Liberal Democrat,-21.3
E14000563,2.0,54.5,Chris Nash,835,Green Party,2.0
E14000563,0.4,54.5,Andy Chaffer,153,Communist Party of Britain,0.4
E14000566,57.4,59.0,Khalid Mahmood,23697,Labour,7.1
E14000566,21.5,59.0,Charlotte Hodivala,8869,Conservative,0.2
E14000566,12.2,59.0,Harjinder Singh,5032,UKIP,8.2
E14000566,4.8,59.0,Arjun Singh,2001,Liberal Democrat,-17.1
E14000566,3.2,59.0,James Lovatt,1330,Green Party,3.2
E14000566,0.8,59.0,Robert Punton,331,TUSC,0.8
E14000567,47.7,60.3,Steve McCabe,21584,Labour,9.1
E14000567,29.0,60.3,Alex Boulter,13137,Conservative,-2.1
E14000567,12.7,60.3,Steven Brookes,5755,UKIP,10.3
E14000567,5.6,60.3,Colin Green,2517,Liberal Democrat,-16.7
E14000567,5.1,60.3,Clare Thomas,2301,Green Party,3.7
E14000569,41.4,59.6,Helen Goodman,16307,Labour,2.4
E14000569,32.5,59.6,Christopher Adams,12799,Conservative,6.2
E14000569,17.8,59.6,Rhys Burriss,7015,UKIP,15.1
E14000569,4.4,59.6,Stephen White,1723,Liberal Democrat,-18.0
E14000569,3.9,59.6,Thom Robinson,1545,Green Party,3.9
E14000543,42.3,63.3,John Zak Woodcock,18320,Labour,-5.8
E14000543,40.5,63.3,Simon Fell,17525,Conservative,4.2
E14000543,11.7,63.3,Nigel Cecil,5070,UKIP,9.8
E14000543,2.7,63.3,Clive Peaple,1169,Liberal Democrat,-7.3
E14000543,2.5,63.3,Rob O'Hara,1061,Green Party,1.3
E14000543,0.3,63.3,Ian Jackson,130,Independent,0.3
E14000564,73.6,52.7,Shabana Mahmood,26444,Labour,18.0
E14000564,12.7,52.7,Isabel Sigmac,4576,Conservative,0.8
E14000564,5.0,52.7,Clair Braund,1805,UKIP,2.5
E14000564,4.2,52.7,Margaret Okole,1501,Green Party,1.8
E14000564,3.8,52.7,Shazad Iqbal,1374,Liberal Democrat,-23.6
E14000564,0.6,52.7,Timothy Burton,216,Liberty GB,0.6
E14000565,41.6,59.4,Richard Burden,17673,Labour,1.3
E14000565,35.7,59.4,Rachel Maclean,15164,Conservative,2.1
E14000565,16.7,59.4,Keith Rowe,7106,UKIP,13.5
E14000565,3.2,59.4,Steve Haynes,1349,Liberal Democrat,-12.5
E14000565,2.8,59.4,Anna Masters,1169,Green Party,1.8
E14000568,41.6,57.0,Jess Phillips,17129,Labour,9.4
E14000568,25.6,57.0,John Hemming,10534,Liberal Democrat,-14.0
E14000568,16.1,57.0,Paul Clayton,6637,UKIP,13.2
E14000568,14.0,57.0,Arun Photay,5760,Conservative,-5.2
E14000568,1.7,57.0,Grant Bishop,698,Green Party,1.7
E14000568,0.5,57.0,Teval Stephens,187,Respect Party,0.5
E14000568,0.3,57.0,Eamonn Flynn,135,TUSC,0.3
E14000568,0.2,57.0,Peter Johnson,71,Social Democratic Party,0.2
E14000570,56.3,60.1,Kate Hollern,24762,Labour,8.5
E14000570,27.3,60.1,Bob Eastwood,12002,Conservative,1.1
E14000570,14.3,60.1,Dayle Taylor,6280,UKIP,12.2
E14000570,2.2,60.1,Gordon Lishman,955,Liberal Democrat,-13.0
E14000574,49.2,66.4,David Anderson,22090,Labour,-0.5
E14000574,17.5,66.4,Mark Bell,7863,UKIP,17.5
E14000574,17.4,66.4,Alison Griffiths,7838,Conservative,1.5
E14000574,12.2,66.4,Jonathan Wallace,5497,Liberal Democrat,-17.1
E14000574,3.7,66.4,Paul McNally,1648,Green Party,3.7
E14000575,46.3,60.1,Ronnie Campbell,17813,Labour,1.8
E14000575,22.3,60.1,Barry Elliott,8584,UKIP,18.0
E14000575,21.7,60.1,Greg Munro,8346,Conservative,5.1
E14000575,5.9,60.1,Philip Latham,2265,Liberal Democrat,-21.3
E14000575,3.8,60.1,Dawn Furness,1453,Green Party,3.8
E14000576,51.3,64.5,Nick Gibb,24185,Conservative,-0.1
E14000576,21.7,64.5,Graham Jones,10241,UKIP,15.3
E14000576,13.8,64.5,Alan Butcher,6508,Labour,-0.2
E14000576,9.0,64.5,Francis Oppler,4240,Liberal Democrat,-14.5
E14000576,4.1,64.5,Simon McDougall,1942,Green Party,4.1
E14000571,61.9,51.6,Graham Stringer,22982,Labour,7.7
E14000571,16.5,51.6,Martin Power,6108,UKIP,13.8
E14000571,15.0,51.6,Michelle Tanfield-Johnson,5581,Conservative,-3.3
E14000571,4.2,51.6,David Jones,1567,Green Party,4.2
E14000571,2.4,51.6,Richard Gadsden,874,Liberal Democrat,-11.9
E14000577,51.2,61.1,Dennis Skinner,22542,Labour,1.2
E14000577,24.5,61.1,Peter Bedford,10764,Conservative,-0.1
E14000577,21.0,61.1,Ray Calladine,9228,UKIP,17.1
E14000577,3.3,61.1,David Lomax,1464,Liberal Democrat,-12.2
E14000573,41.8,56.5,Gordon Marsden,13548,Labour,0.7
E14000573,33.8,56.5,Peter Anthony,10963,Conservative,-2.0
E14000573,17.3,56.5,Peter Wood,5613,UKIP,13.5
E14000573,2.6,56.5,Duncan Royle,841,Green Party,2.6
E14000573,2.3,56.5,Bill Greene,743,Liberal Democrat,-12.2
E14000573,2.0,56.5,Andy Higgins,655,Independent,2.0
E14000573,0.2,56.5,Lawrence Chard,73,Independent,0.2
E14000572,44.4,63.1,Paul Maynard,17508,Conservative,2.7
E14000572,36.0,63.1,Samuel Rushworth,14168,Labour,-0.5
E14000572,14.8,63.1,Simon Noble,5823,UKIP,10.7
E14000572,2.4,63.1,Sue Close,948,Liberal Democrat,-10.9
E14000572,2.3,63.1,John Warnock,889,Green Party,2.3
E14000572,0.1,63.1,James Walsh,57,The Northern Party,0.1
E14000578,43.0,63.6,David Crausby,18541,Labour,-3.0
E14000578,32.8,63.6,James Daly,14164,Conservative,-3.7
E14000578,18.8,63.6,Harry Lamb,8117,UKIP,14.6
E14000578,2.9,63.6,Stephen Rock,1236,Liberal Democrat,-10.1
E14000578,2.6,63.6,Laura Diggle,1103,Green Party,2.6
E14000579,50.5,58.5,Yasmin Qureshi,20555,Labour,3.0
E14000579,23.6,58.5,Jeff Armstrong,9627,UKIP,19.7
E14000579,20.3,58.5,Mudasir Dean,8289,Conservative,-5.3
E14000579,2.9,58.5,Alan Johnson,1200,Green Party,1.4
E14000579,2.6,58.5,Darren Reynolds,1072,Liberal Democrat,-13.2
E14000581,74.5,64.4,Peter Dowd,33619,Labour,8.0
E14000581,10.9,64.4,Paul Nuttall,4915,UKIP,4.8
E14000581,8.1,64.4,Jade Marsden,3639,Conservative,-0.9
E14000581,3.3,64.4,Lisa Tallis,1501,Green Party,3.3
E14000581,2.2,64.4,David Newman,978,Liberal Democrat,-13.0
E14000581,1.1,64.4,Peter Glover,500,TUSC,0.0
E14000583,42.8,67.2,David Tredinnick,22939,Conservative,0.2
E14000583,22.3,67.2,Michael Mullaney,11951,Liberal Democrat,-11.0
E14000583,17.5,67.2,Chris Kealey,9354,Labour,1.5
E14000583,17.4,67.2,David Sprason,9338,UKIP,15.4
E14000585,48.2,58.0,Conor Burns,20155,Conservative,3.1
E14000585,18.5,58.0,Martin Houlden,7745,UKIP,11.3
E14000585,17.7,58.0,David Stokes,7386,Labour,2.9
E14000585,7.9,58.0,Mike Plummer,3281,Liberal Democrat,-23.9
E14000585,7.4,58.0,Elizabeth McManus,3107,Green Party,7.4
E14000585,0.2,58.0,Dick Franklin,99,Patria,0.2
E14000584,49.2,62.3,Tobias Ellwood,22060,Conservative,0.8
E14000584,16.6,62.3,Peter Stokes,7448,Labour,3.4
E14000584,16.5,62.3,David Hughes,7401,UKIP,9.6
E14000584,8.4,62.3,Jon Nicholas,3752,Liberal Democrat,-22.5
E14000584,7.3,62.3,Alasdair Keddie,3263,Green Party,7.3
E14000584,2.0,62.3,David Ross,903,Bournemouth Independent Alliance,2.0
E14000580,40.6,66.8,Chris Green,19744,Conservative,2.3
E14000580,39.0,66.8,Julie Hilling,18943,Labour,0.5
E14000580,15.3,66.8,Bob Horsefield,7428,UKIP,11.3
E14000580,4.0,66.8,Andrew Martin,1947,Liberal Democrat,-13.2
E14000580,0.7,66.8,Andy Smith,321,Independent,0.7
E14000580,0.4,66.8,John Vickers,209,TUSC,0.4
E14000582,43.8,63.9,Matt Warman,18981,Conservative,-5.7
E14000582,33.8,63.9,Robin Hunter-Clarke,14645,UKIP,24.3
E14000582,16.5,63.9,Paul Kenny,7142,Labour,-4.2
E14000582,2.3,63.9,David Watts,1015,Liberal Democrat,-12.4
E14000582,1.8,63.9,Victoria Percival,800,Green Party,1.8
E14000582,0.7,63.9,Chris Pain,324,Independence from Europe,0.7
E14000582,0.4,63.9,Peter Johnson,170,Independent,0.4
E14000582,0.3,63.9,Lyn Luxton,143,The Pilgrim Party,0.3
E14000582,0.3,63.9,Robert West,119,British National Party,-5.0
E14000588,43.4,59.1,Judith Cummins,16328,Labour,2.2
E14000588,26.3,59.1,Tanya Graham,9878,Conservative,-2.8
E14000588,24.1,59.1,Jason Smith,9057,UKIP,20.6
E14000588,3.3,59.1,Andy Robinson,1243,Green Party,3.3
E14000588,2.9,59.1,Andrew Tear,1094,Liberal Democrat,-15.4
E14000590,53.8,68.4,James Cleverly,27071,Conservative,1.2
E14000590,18.8,68.4,Richard Bingley,9461,UKIP,13.8
E14000590,18.5,68.4,Malcolm Fincken,9296,Labour,-1.4
E14000590,4.9,68.4,Matthew Klesel,2488,Liberal Democrat,-13.8
E14000590,3.1,68.4,Paul Jeater,1564,Green Party,1.7
E14000590,0.6,68.4,Toby Pereira,295,Independent,0.6
E14000590,0.2,68.4,Paul Hooks,108,British National Party,-2.0
E14000586,55.8,67.9,Phillip Lee,29606,Conservative,3.4
E14000586,16.9,67.9,James Walsh,8956,Labour,0.1
E14000586,15.7,67.9,Richard Thomas,8339,UKIP,11.3
E14000586,7.5,67.9,Patrick Smith,3983,Liberal Democrat,-14.8
E14000586,4.1,67.9,Derek Florey,2202,Green Party,2.6
E14000587,46.6,62.6,Imran Hussain,19312,Labour,13.8
E14000587,29.5,62.6,David Ward,12228,Liberal Democrat,-4.2
E14000587,11.3,62.6,Iftikhar Ahmed,4682,Conservative,-15.5
E14000587,9.9,62.6,Owais Rajput,4103,UKIP,9.9
E14000587,2.1,62.6,Dave Stevens,871,Green Party,2.1
E14000587,0.5,62.6,James Lewthwaite,210,British Democratic Party,0.5
E14000589,49.6,63.6,Naseem Shah,19977,Labour,4.2
E14000589,21.2,63.6,George Galloway,8557,Respect Party,18.2
E14000589,15.3,63.6,George Grant,6160,Conservative,-15.9
E14000589,7.8,63.6,Harry Boota,3140,UKIP,5.8
E14000589,2.9,63.6,Alun Griffiths,1173,Liberal Democrat,-8.8
E14000589,2.7,63.6,Celia Hickson,1085,Green Party,0.4
E14000589,0.2,63.6,James Kirkcaldy,100,Independent,0.2
E14000589,0.2,63.6,Therese Hirst,98,English Democrats,0.2
E14000594,58.8,71.6,Eric Pickles,30534,Conservative,1.9
E14000594,16.8,71.6,Michael McGough,8724,UKIP,12.8
E14000594,12.5,71.6,Liam Preston,6492,Labour,2.6
E14000594,8.8,71.6,David Kendall,4577,Liberal Democrat,-14.6
E14000594,2.7,71.6,Reza Hossain,1397,Green Party,1.5
E14000594,0.3,71.6,Robin Tilbrook,173,English Democrats,-0.6
E14000591,62.1,61.1,Dawn Butler,29216,Labour,20.9
E14000591,20.3,61.1,Alan Mendoza,9567,Conservative,9.2
E14000591,8.4,61.1,Lauren Keith,3937,Liberal Democrat,-35.8
E14000591,4.1,61.1,Shahrar Ali,1912,Green Party,2.6
E14000591,3.9,61.1,Stephen Priestley,1850,UKIP,3.9
E14000591,0.5,61.1,John Boyle,235,TUSC,0.5
E14000591,0.4,61.1,Kamran Malik,170,Communities United,0.4
E14000591,0.3,61.1,Noel Coonan,145,Independent,0.3
E14000592,54.3,63.5,Barry Gardiner,28351,Labour,7.4
E14000592,33.5,63.5,Luke Parker,17517,Conservative,2.0
E14000592,5.0,63.5,Paul Lorber,2607,Liberal Democrat,-12.0
E14000592,3.9,63.5,Alexander Craig,2024,UKIP,3.1
E14000592,2.9,63.5,Scott Bartle,1539,Green Party,1.6
E14000592,0.4,63.5,Elcena Jeffers,197,Independent,0.4
E14000593,43.8,67.8,Ruth Cadbury,25096,Labour,10.2
E14000593,42.9,67.8,Mary Macleod,24631,Conservative,5.7
E14000593,5.6,67.8,Richard Hendron,3203,UKIP,4.0
E14000593,4.0,67.8,Joe Bourke,2305,Liberal Democrat,-19.6
E14000593,3.7,67.8,Daniel Goldsmith,2120,Green Party,2.2
E14000596,53.0,63.2,Andrew Percy,22946,Conservative,8.2
E14000596,27.2,63.2,Jacky Crawford,11770,Labour,-5.9
E14000596,15.5,63.2,David Jeffreys,6694,UKIP,11.5
E14000596,2.1,63.2,Natalie Hurst,915,Green Party,2.1
E14000596,1.8,63.2,Liz Leffman,764,Liberal Democrat,-12.9
E14000596,0.4,63.2,Trevor Dixon,153,Independent,0.4
E14000596,0.1,63.2,Ray Spalding,28,Independence from Europe,0.1
E14000595,46.0,67.6,Ian Liddell-Grainger,25020,Conservative,0.7
E14000595,19.2,67.6,Stephen Fitzgerald,10437,UKIP,14.4
E14000595,17.6,67.6,Mick Lerry,9589,Labour,0.5
E14000595,12.4,67.6,Theo Butt Philip,6765,Liberal Democrat,-15.9
E14000595,4.8,67.6,Julie Harvey-Smith,2636,Green Party,3.3
E14000597,40.7,66.8,Simon Kirby,18428,Conservative,2.7
E14000597,39.2,66.8,Nancy Platts,17738,Labour,4.3
E14000597,9.8,66.8,Ian Buchanan,4446,UKIP,6.6
E14000597,7.0,66.8,Davy Jones,3187,Green Party,1.6
E14000597,3.0,66.8,Paul Chandler,1365,Liberal Democrat,-15.0
E14000597,0.2,66.8,Jacqueline Shodeke,73,Socialist Party GB,0.2
E14000597,0.2,66.8,Matt Taylor,69,Independent,0.2
E14000599,39.3,64.2,Kerry McCarthy,18148,Labour,2.7
E14000599,30.7,64.2,Theodora Clarke,14168,Conservative,2.3
E14000599,15.5,64.2,James McMurray,7152,UKIP,12.1
E14000599,8.3,64.2,Lorraine Francis,3827,Green Party,6.5
E14000599,5.8,64.2,Abdul Malik,2689,Liberal Democrat,-18.6
E14000598,41.8,71.4,Caroline Lucas,22871,Green Party,10.5
E14000598,27.3,71.4,Purna Sen,14904,Labour,-1.7
E14000598,22.8,71.4,Clarence Mitchell,12448,Conservative,-0.9
E14000598,5.0,71.4,Nigel Carter,2724,UKIP,3.2
E14000599,0.5,64.2,Matt Gordon,229,TUSC,0.1
